127544                    4 2245089                    
127557                    2 2243451                    
127786                    1 1967070                    
12781                     2 4522707                    
127816                    2 1945944                    
128                       12 1117788                   
1282                      2 3588207                    
12822                     2 4464033                    
128282                    2 3250296                    
12839                     2 4465146                    
128433                    2 3194268                    
12854                     2 4458468                    
12855                     2 4458426                    
128604                    2 3290364                    
12868                     1 4458657                    
128924                    2 3280473                    
1289k                     1 4460127                    
129                       13 1119048                   
129087                    2 4367223                    
1291                      2 3588018                    
12917                     1 4478586                    
12920                     1 4478670                    
12926                     2 4478733                    
12941                     3 4481925                    
12979                     2 4474869                    
12981                     3 4475331                    
12996                     1 4473378                    
12fn                      78 3551688                   
12k                       2 1130829                    
12pgs                     75 5596353                   
12s                       69 1128183                   
130                       20 1125936                   
13001                     1 4990398                    
13006                     1 4990503                    
1301                      1 3573738                    
13011                     1 4990839                    
13027                     2 4992120                    
130351                    2 3977631                    
13090                     1 4993212                    
13099                     3 4993233                    
130°e                     1 4919586                    
131                       12 1125684                   
131288                    1 4621071                    
1313                      2 3572814                    
13130                     2 4975425                    
1314                      2 3572772                    
13152                     1 4977021                    
13170                     2 4977483                    
131852                    2 4764480                    
132                       11 1124256                   
13208                     2 4955685                    
13216                     1 4953774                    
13218                     1 4953795                    
13221                     1 4953711                    
13222                     2 4952556                    
132255                    2 5236959                    
13226                     2 4952598                    
13236                     1 4952472                    
13247                     4 4951359                    
1327                      2 3573234                    
132767                    2 5298069                    
13291                     1 4948608                    
133                       13 1124487                   
1330                      2 3573318                    
13314                     2 4932480                    
13362                     1 4931409                    
133919                    1 595476                     
134                       84 1120623                   
13400                     2 4936785                    
134080                    2 1525209                    
134133                    2 1533798                    
13437                     1 4914126                    
13461                     1 4919712                    
13464                     2 4919796                    
134699                    2 1490937                    
13476                     3 4918914                    
1348                      1 3570168                    
13480                     1 4915638                    
13488                     2 4916016                    
134890                    2 1351266                    
13490                     4 4915281                    
13495                     1 4914798                    
135                       11 1122387                   
1350                      2 3569811                    
135177                    2 915642                     
13543                     2 4897809                    
135475                    2 2188074                    
1357                      3 3572646                    
13578                     2 4897893                    
135799                    2 2248512                    
1358                      2 3572709                    
136                       11 1125117                   
1360                      1 3571155                    
136054                    2 1626219                    
13631                     2 4904592                    
13635                     2 4904403                    
13637                     2 4904361                    
136375                    2 1713852                    
1364                      3 3571050                    
136622                    2 3041409                    
13663                     1 5100501                    
13686                     2 5101299                    
13694                     2 5101908                    
137                       9 1125348                    
13713                     2 5091135                    
13723                     3 5092017                    
13741                     1 5094474                    
13745                     5 5094495                    
13757                     2 5094306                    
137692                    2 2448180                    
13772                     1 5094684                    
1379                      1 3568383                    
137972                    2 3638061                    
138                       8 1124760                    
13800                     1 5109552                    
138222                    2 3199602                    
138374                    2 3444714                    
13852                     1 5104596                    
138666                    2 3393537                    
138685                    2 3396540                    
13873                     2 5106444                    
13875                     1 5106528                    
13890                     2 5105268                    
138929                    2 3373545                    
13895                     1 5105856                    
139                       9 1124928                    
13955                     3 5124840                    
13962                     1 5127129                    
139668                    3 3874920                    
139817                    3 4049955                    
13984                     2 5122320                    
1399340                   1 788760                     
13fn                      64 3519411                   
13k                       2 1096137                    
13pgs                     67 3563112                   
13s                       46 1092609                   
13th                      4 3511872                    
140                       12 1130871                   
1400                      4 3549483                    
14002                     3 5379234                    
140147                    1 2919567                    
14031                     3 5380368                    
14037                     1 5380200                    
1404                      2 3549441                    
140404                    2 2879730                    
1405                      1 3549336                    
14057                     4 5379927                    
1407                      2 3549357                    
141                       13 1131375                   
1412                      2 3545619                    
14138                     1 5557167                    
141403                    2 595203                     
14160                     1 5555823                    
14165                     2 5556327                    
14166                     2 5555844                    
141710                    2 625506                     
141774                    2 701295                     
14194                     2 5572161                    
142                       7 1131228                    
1422                      3 3545850                    
142295                    2 1078644                    
1423                      1 3545913                    
14254                     2 5538519                    
142621                    2 1249458                    
14298                     2 5537259                    
143                       67 1126356                   
143049                    1 4494714                    
143129                    2 4571322                    
1433                      4 3546417                    
143359                    2 4452063                    
14340                     2 5592804                    
1435                      1 3546396                    
14354                     1 5588058                    
144                       9 1127763                    
1440                      3 3546816                    
14407                     1 5575731                    
144242                    2 5152602                    
14425                     2 5576802                    
1444                      6 3546984                    
144511                    1 5099598                    
14478                     2 5572413                    
1448                      3 3546879                    
14481                     2 5572791                    
